dup_check,candidate_id,name_id,county_lvl_election_id,state_lvl_election_id,electionyear,electiondate,partycode,partyname,racecode,racename,racename_category,countycode,countyname,district_circuitnumber,group_seatnumber,precincts,cannamefirst,cannamemiddle,cannamelast,runningmate,canvotes,county_totalvotes,county_lvl_on_ballot_count,max_county_lvl_on_ballot_count,local_state_election,county_percent_canvotes,place,prev_winner4_partycode,prev_winner4_partyname,prev_winner4_canname,prev_winner4_same_party,geo_fips,avg_monthly_annual_value,q1_avg_monthly_value,q2_avg_monthly_value,q3_avg_monthly_value,q4_avg_monthly_value,population,gdp,Personal Income,Per Capita Personal Income,population2,Total Violent Crime,Violent Crime Rate Per 100k,Violent Crime Rate Change,first_primary_to,second_primary_to,General Election,is_democrat,is_republican,is_independent
1,7485,29018,7443,7441,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,CLM,Columbia,11,0,23,Dwight,,Stansel,,9676,12124,6,6,Local Election,79.81,1,DEM,Democrat,Dwight  Stansel,1,12023,5.48,6.0,5.6,5.4,4.93,57930,1295351,1281214,22117,58372.0,423,724.7,-4.7,29%,***,55%,1,0,0
1,7489,34166,7780,7777,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,DES,DeSoto,72,0,16,Lindsay,M.,Harrington,,5316,6721,3,3,Local Election,79.1,1,REP,Republican,Lindsay M. Harrington,1,12027,6.43,4.93,5.4,8.87,6.5,32446,549625,566491,17460,32798.0,199,606.7,-0.2,29%,***,55%,0,1,0
1,7492,41023,7406,7402,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,DIX,Dixie,10,0,11,Will,S.,Kendrick,,3094,3814,10,10,Local Election,81.12,1,DEM,Democrat,Will S. Kendrick,1,12029,5.32,6.13,5.53,4.97,4.63,14234,181445,249835,17552,14459.0,89,615.5,16.9,29%,***,55%,1,0,0
1,7494,29018,7445,7441,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,DIX,Dixie,11,0,1,Dwight,,Stansel,,2,2,6,6,Local Election,100.0,1,REP,Republican,Stevie  Landon,0,12029,5.32,6.13,5.53,4.97,4.63,14234,181445,249835,17552,14459.0,89,615.5,16.9,29%,***,55%,1,0,0
1,7498,28788,7508,7508,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,DUV,Duval,18,0,34,Don,,Davis,,23986,29557,2,2,Local Election,81.15,1,REP,Republican,Don  Davis,1,12031,5.7,5.8,5.77,5.87,5.37,800532,36200537,24368344,30440,809394.0,7105,877.8,-7.1,29%,***,55%,0,1,0
1,7500,35330,7500,7498,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,DUV,Duval,13,0,41,Mike,,Hogan,,22039,26093,2,2,Local Election,84.46,1,REP,Republican,Mike  Hogan,1,12031,5.7,5.8,5.77,5.87,5.37,800532,36200537,24368344,30440,809394.0,7105,877.8,-7.1,29%,***,55%,0,1,0
1,7508,22518,7486,7480,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,DUV,Duval,12,0,1,Aaron,,Bean,,148,189,6,6,Local Election,78.31,1,REP,Republican,Aaron  Bean,1,12031,5.7,5.8,5.77,5.87,5.37,800532,36200537,24368344,30440,809394.0,7105,877.8,-7.1,29%,***,55%,0,1,0
1,7510,28003,7518,7518,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,ESC,Escambia,2,0,36,Dave,,Murzin,,31721,39668,1,1,Local Election,79.97,1,REP,Republican,Jerry L. Maygarden,1,12033,5.47,5.73,5.53,5.5,5.1,297568,9208833,7772064,26119,299485.0,2040,681.2,-3.5,29%,***,55%,0,1,0
1,7511,30716,7574,7574,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,ESC,Escambia,3,0,46,Holly,,Benson,,29564,36166,2,2,Local Election,81.75,1,REP,Republican,Holly  Benson,1,12033,5.47,5.73,5.53,5.5,5.1,297568,9208833,7772064,26119,299485.0,2040,681.2,-3.5,29%,***,55%,0,1,0
1,7516,28984,7522,7520,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,FLA,Flagler,20,0,28,Doug,,Wiles,,17925,21600,3,3,Local Election,82.99,1,DEM,Democrat,Doug  Wiles,1,12035,1432.58,1471.33,1432.0,1438.33,1388.67,57905,1239852,1546143,26701,56861.0,187,328.9,4.0,29%,***,55%,1,0,0
1,7518,36157,7559,7559,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,FLA,Flagler,26,0,4,Pat,,Patterson,,746,1341,2,2,Local Election,55.63,1,DEM,Democrat,Joyce  Cusack,0,12035,1432.58,1471.33,1432.0,1438.33,1388.67,57905,1239852,1546143,26701,56861.0,187,328.9,4.0,29%,***,55%,0,1,0
1,7521,41023,7408,7402,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,FRA,Franklin,10,0,6,Will,S.,Kendrick,,2015,2411,10,10,Local Election,83.58,1,DEM,Democrat,Will S. Kendrick,1,12037,247.42,243.67,221.0,245.0,280.0,9972,265570,249562,25026,10161.0,58,570.8,8.3,29%,***,55%,1,0,0
1,7523,24644,7761,7757,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,GAD,Gadsden,7,0,5,Bev,,Kilmer,,770,1476,9,9,Local Election,52.17,1,DEM,Democrat,Jamey  Westbrook,0,12039,1137.0,1185.33,1068.67,1171.67,1122.33,44762,830492,1018962,22764,45911.0,346,753.6,-15.5,29%,***,55%,0,1,0
1,7525,29018,7447,7441,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,GIL,Gilchrist,11,0,10,Dwight,,Stansel,,3660,4709,6,6,Local Election,77.72,1,DEM,Democrat,Dwight  Stansel,1,12041,5.01,5.5,5.03,4.93,4.57,14502,172983,320917,22129,15023.0,107,712.2,41.5,29%,***,55%,1,0,0
1,7527,32970,7803,7801,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,GLA,Glades,77,0,13,Joseph,R.,Spratt,,2206,2802,4,4,Local Election,78.73,1,REP,Republican,Joseph R. Spratt,1,12043,6.08,4.93,5.97,7.9,5.53,11284,168478,202544,17950,10664.0,30,281.3,-21.4,29%,***,55%,0,1,0
1,7533,32970,7805,7801,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,HEN,Hendry,77,0,24,Joseph,R.,Spratt,,4938,5910,4,4,Local Election,83.55,1,REP,Republican,Joseph R. Spratt,1,12051,8.75,5.97,7.7,13.4,7.93,36035,1016175,767169,21290,36154.0,278,768.9,-6.3,29%,***,55%,0,1,0
1,7535,28006,7639,7639,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,HER,Hernando,44,0,46,Dave,,Russell,,29241,50385,3,3,Local Election,58.04,1,REP,Republican,Dave  Russell,1,12053,6.99,7.03,7.27,7.2,6.47,137818,2097347,3457580,25088,136484.0,880,644.8,-1.5,29%,***,55%,0,1,0
1,7541,32970,7807,7801,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,HIG,Highlands,77,0,24,Joseph,R.,Spratt,,19916,24894,4,4,Local Election,80.0,1,REP,Republican,Joseph R. Spratt,1,12055,6.3,5.63,5.6,7.83,6.13,89939,1551719,2006473,22309,89038.0,414,465.0,24.7,29%,***,55%,0,1,0
1,7545,38729,7703,7703,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,HIL,Hillsborough,56,0,58,Sandra,L.,Murman,,32419,42265,1,1,Local Election,76.7,1,REP,Republican,Sandra L. Murman,1,12057,5.53,5.57,5.5,5.7,5.37,1054860,45063371,31570685,29929,1055617.0,11341,1074.3,-1.7,29%,***,55%,0,1,0
1,7546,33539,7657,7657,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,HIL,Hillsborough,47,0,46,Kevin Christopher,,Ambler,,26729,45750,1,1,Local Election,58.42,1,REP,Republican,Rob  Wallace,1,12057,5.53,5.57,5.5,5.7,5.37,1054860,45063371,31570685,29929,1055617.0,11341,1074.3,-1.7,29%,***,55%,0,1,0
1,7547,29561,7706,7706,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,HIL,Hillsborough,57,0,42,Faye,,Culp,,25063,47383,1,1,Local Election,52.89,1,REP,Republican,Chris  Hart,1,12057,5.53,5.57,5.5,5.7,5.37,1054860,45063371,31570685,29929,1055617.0,11341,1074.3,-1.7,29%,***,55%,0,1,0
1,7548,29054,7713,7713,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,HIL,Hillsborough,60,0,52,Ed,,Homan,,23024,42096,1,1,Local Election,54.69,1,DEM,Democrat,Sara  Romeo,0,12057,5.53,5.57,5.5,5.7,5.37,1054860,45063371,31570685,29929,1055617.0,11341,1074.3,-1.7,29%,***,55%,0,1,0
1,7551,25399,7709,7709,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,HIL,Hillsborough,58,0,48,Bob,,Henriquez,,18245,28848,1,1,Local Election,63.25,1,DEM,Democrat,Bob  Henriquez,1,12057,5.53,5.57,5.5,5.7,5.37,1054860,45063371,31570685,29929,1055617.0,11341,1074.3,-1.7,29%,***,55%,1,0,0
1,7559,33332,7716,7716,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,HIL,Hillsborough,61,0,5,Ken,,Littlefield,,2584,4125,2,2,Local Election,62.64,1,REP,Republican,Ken  Littlefield,1,12057,5.53,5.57,5.5,5.7,5.37,1054860,45063371,31570685,29929,1055617.0,11341,1074.3,-1.7,29%,***,55%,0,1,0
1,7575,28758,7668,7668,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,HOL,Holmes,5,0,17,Don,,Brown,,4337,5196,5,5,Local Election,83.47,1,REP,Republican,Donald  Brown,1,12059,5.88,6.63,6.0,5.87,5.0,18880,234252,362788,19215,18708.0,46,245.9,39.5,29%,***,55%,0,1,0
1,7577,39009,7819,7817,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,IND,Indian River,80,0,40,Stan,,Mayfield,,24891,30950,3,3,Local Election,80.42,1,REP,Republican,Stan  Mayfield,1,12061,7.44,6.53,7.23,9.17,6.83,118144,3158338,4990078,42237,118149.0,444,375.8,5.6,29%,***,55%,0,1,0
1,7582,27357,7763,7757,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,JAC,Jackson,7,0,19,Clifton,C.,Thomas,,4361,8471,9,9,Local Election,51.48,1,DEM,Democrat,Jamey  Westbrook,1,12063,4.78,5.07,4.83,4.8,4.43,46139,831342,977053,21176,47707.0,211,442.3,-23.3,29%,***,55%,1,0,0
1,7586,41023,7412,7402,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,JEF,Jefferson,10,0,15,Will,S.,Kendrick,,4523,4984,10,10,Local Election,90.75,1,DEM,Democrat,Will S. Kendrick,1,12065,4.68,4.53,4.33,5.0,4.87,13316,179999,350085,26291,13261.0,84,633.4,-19.8,29%,***,55%,1,0,0
1,7590,29018,7449,7441,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,LAF,Lafayette,11,0,6,Dwight,,Stansel,,2172,2447,6,6,Local Election,88.76,1,DEM,Democrat,Dwight  Stansel,1,12067,4.98,5.7,5.0,4.83,4.37,7287,105670,112066,15379,7205.0,3,41.6,-73.3,29%,***,55%,1,0,0
1,7592,30959,7624,7624,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,LAK,Lake,42,0,41,Hugh,H,Gibson,,25576,31191,3,3,Local Election,82.0,1,REP,Republican,Hugh  Gibson,1,12069,5.89,6.13,5.9,6.07,5.47,231519,4477599,6201394,26786,231072.0,1272,550.5,-17.6,29%,***,55%,0,1,0
1,7593,37005,7618,7618,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,LAK,Lake,41,0,10,Randy,,Johnson,,7536,9150,3,3,Local Election,82.36,1,REP,Republican,Randy  Johnson,1,12069,5.89,6.13,5.9,6.07,5.47,231519,4477599,6201394,26786,231072.0,1272,550.5,-17.6,29%,***,55%,0,1,0
1,7599,26301,7797,7795,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,LEE,Lee,75,0,51,Carole,,Green,,36993,45131,2,2,Local Election,81.97,1,REP,Republican,Carole  Green,1,12071,4.97,4.9,4.97,5.17,4.83,478889,14159609,14807474,30920,475073.0,2842,598.2,-2.4,29%,***,55%,0,1,0
1,7600,31510,7792,7789,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,LEE,Lee,74,0,58,Jeff,,Kottkamp,,36863,53730,2,2,Local Election,68.61,1,REP,Republican,Jeff  Kottkamp,1,12071,4.97,4.9,4.97,5.17,4.83,478889,14159609,14807474,30920,475073.0,2842,598.2,-2.4,29%,***,55%,0,1,0
1,7601,25793,7786,7786,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,LEE,Lee,73,0,48,Bruce,,Kyle,,23326,36984,1,1,Local Election,63.07,1,REP,Republican,Bruce  Kyle,1,12071,4.97,4.9,4.97,5.17,4.83,478889,14159609,14807474,30920,475073.0,2842,598.2,-2.4,29%,***,55%,0,1,0
1,7604,34166,7783,7777,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,LEE,Lee,72,0,21,Lindsay,M.,Harrington,,10921,13962,3,3,Local Election,78.22,1,REP,Republican,Lindsay M. Harrington,1,12071,4.97,4.9,4.97,5.17,4.83,478889,14159609,14807474,30920,475073.0,2842,598.2,-2.4,29%,***,55%,0,1,0
1,7610,34289,7840,7838,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,LEO,Leon,9,0,64,Loranne,,Ausley,,47441,57354,2,2,Local Election,82.72,1,DEM,Democrat,Loranne  Ausley,1,12073,4.46,4.33,4.63,4.7,4.17,245404,9554645,7311698,29795,248039.0,2044,824.1,-14.9,29%,***,55%,1,0,0
1,7612,27357,7765,7757,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,LEO,Leon,7,0,10,Clifton,C.,Thomas,,2379,4683,9,9,Local Election,50.8,1,DEM,Democrat,Jamey  Westbrook,1,12073,4.46,4.33,4.63,4.7,4.17,245404,9554645,7311698,29795,248039.0,2044,824.1,-14.9,29%,***,55%,1,0,0
1,7614,41023,7414,7402,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,LEV,Levy,10,0,18,Will,S.,Kendrick,,6573,8247,10,10,Local Election,79.7,1,DEM,Democrat,Will S. Kendrick,1,12075,5.93,6.27,5.83,6.1,5.5,35964,549441,757289,21057,36013.0,238,660.9,-25.6,29%,***,55%,1,0,0
1,7622,27357,7767,7757,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,LIB,Liberty,7,0,9,Clifton,C.,Thomas,,1239,2346,9,9,Local Election,52.81,1,DEM,Democrat,Jamey  Westbrook,1,12077,4.58,4.73,4.83,4.63,4.1,7231,128737,142307,19680,7157.0,20,279.4,-26.2,29%,***,55%,1,0,0
1,7626,24703,7748,7745,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,MAN,Manatee,68,0,74,Bill,,Galvano,,30482,49516,2,2,Local Election,61.56,1,REP,Republican,Mark G. Flanagan,1,12081,5.18,5.17,5.07,5.5,4.97,279950,7856395,8635771,30848,282430.0,2306,816.5,-3.6,29%,***,55%,0,1,0
1,7638,28683,7557,7557,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,MRN,Marion,24,0,60,Dennis,K.,Baxley,,31967,41748,1,1,Local Election,76.57,1,REP,Republican,Dennis K. Baxley,1,12083,6.05,6.37,6.07,6.13,5.63,271716,5483296,6569582,24178,271096.0,1976,728.9,1.4,29%,***,55%,0,1,0
1,7639,33664,7550,7544,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,MRN,Marion,22,0,38,Larry,,Cretul,,16808,28692,3,3,Local Election,58.58,1,REP,Republican,Chuck  Clemons,1,12083,6.05,6.37,6.07,6.13,5.63,271716,5483296,6569582,24178,271096.0,1976,728.9,1.4,29%,***,55%,0,1,0
1,7642,32442,7535,7526,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,MRN,Marion,21,0,26,Joe,H.,Pickens,,6003,9789,6,6,Local Election,61.32,1,REP,Republican,Joe H. Pickens,1,12083,6.05,6.37,6.07,6.13,5.63,271716,5483296,6569582,24178,271096.0,1976,728.9,1.4,29%,***,55%,0,1,0
1,7643,29074,7555,7553,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,MRN,Marion,23,0,19,Ed,,"Jennings, Jr.",,4548,5672,2,2,Local Election,80.18,1,DEM,Democrat,"Ed  Jennings, Jr.",1,12083,6.05,6.37,6.07,6.13,5.63,271716,5483296,6569582,24178,271096.0,1976,728.9,1.4,29%,***,55%,1,0,0
1,7645,30959,7626,7624,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,MRN,Marion,42,0,6,Hugh,H,Gibson,,2441,2969,3,3,Local Election,82.22,1,REP,Republican,Hugh  Gibson,1,12083,6.05,6.37,6.07,6.13,5.63,271716,5483296,6569582,24178,271096.0,1976,728.9,1.4,29%,***,55%,0,1,0
1,7650,29992,7823,7823,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,MRT,Martin,81,0,17,Gayle,,Harrell,,13220,15792,2,2,Local Election,83.71,1,REP,Republican,Gayle  Harrell,1,12085,5.92,6.1,5.67,6.17,5.73,132945,4382492,5997072,45109,131051.0,566,431.9,14.0,29%,***,55%,0,1,0
1,7652,33029,7472,7472,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,DAD,Miami-Dade,117,0,88,Julio,,Robaina,,26596,30723,1,1,Local Election,86.57,1,REP,Republican,Carlos  Lacasa,1,12086,5.13,5.53,5.0,5.2,4.77,2315747,88292591,67107084,28979,2312478.0,25612,1107.6,-2.4,29%,***,55%,0,1,0
1,7654,33012,7468,7468,2002.0,2002-11-05,REP,Republican,STR,State Representative,State Representative,DAD,Miami-Dade,115,0,57,Juan-Carlos,'J.C.',Planas,,24624,33234,1,1,Local Election,74.09,1,REP,Republican,Renier  Diaz de la Portilla,1,12086,5.13,5.53,5.0,5.2,4.77,2315747,88292591,67107084,28979,2312478.0,25612,1107.6,-2.4,29%,***,55%,0,1,0
1,7656,28922,7439,7439,2002.0,2002-11-05,DEM,Democrat,STR,State Representative,State Representative,DAD,Miami-Dade,109,0,78,Dorothy,,Bendross-Mindingall,,22273,22273,1,1,Local Election,100.0,1,DEM,Democrat,Dorothy  Bendross-Mindingall,1,12086,5.13,5.53,5.0,5.2,4.77,2315747,88292591,67107084,28979,2312478.0,25612,1107.6,-2.4,29%,***,55%,1,0,0
